,title,release_date,genre_ids,vote_average,vote_count,popularity,id
334,Masterminds,2016-09-30,"[28, 35, 80]",5.736,1657,16.96,213681
335,Criminal,2016-04-15,"[28, 80, 878]",6.184,1629,31.052,302156
336,Spectral,2016-12-09,"[878, 53, 28]",6.438,1603,25.295,324670
337,Ride Along 2,2016-01-15,"[28, 35]",6.254,1598,20.267,323675
338,Ben-Hur,2016-08-19,"[28, 36, 12, 18]",5.717,1592,24.743,271969
339,The Infiltrator,2016-07-13,"[80, 18, 53]",6.675,1590,13.577,325789
340,Piper,2016-06-17,"[10751, 16]",8.154,1559,13.49,399106
341,Fallen,2017-09-08,"[18, 14, 10749]",6.113,1540,15.165,283378
342,Gold,2016-12-30,"[12, 18, 53]",6.616,1537,15.26,334524
343,The Finest Hours,2016-01-29,"[28, 18, 36, 53]",6.6,1525,18.575,300673
344,Blood Father,2016-08-12,"[28, 53, 18]",6.179,1453,18.64,309886
345,The Do-Over,2016-05-27,"[28, 12, 35]",5.704,1424,18.491,389053
346,Free State of Jones,2016-06-24,"[28, 18, 36, 10752]",6.735,1420,15.389,316152
347,Morgan,2016-09-02,"[27, 878, 53]",5.791,1395,18.266,377264
348,The Belko Experiment,2016-03-17,"[27, 53]",6.179,1355,20.437,341006
349,A Street Cat Named Bob,2016-11-18,"[10751, 18]",7.915,1327,16.599,404378
350,The Man Who Knew Infinity,2016-04-29,[18],7.174,1325,20.503,353326
351,The Light Between Oceans,2016-09-02,"[18, 10749]",7.1,1295,14.512,283552
352,Imperium,2016-08-19,"[80, 18]",6.45,1285,19.781,374617
353,Fifty Shades of Black,2016-01-29,"[10749, 35]",4.867,1281,29.573,351819
354,Bastille Day,2016-11-18,[28],6.3,1281,22.068,333669
355,The Boss,2016-04-08,[35],5.82,1271,12.532,323676
356,Mr. Right,2016-04-08,"[35, 28, 10749, 80]",6.481,1270,17.012,333385
357,Live by Night,2016-12-25,"[80, 18, 53]",6.25,1242,14.738,259695
358,Boyka: Undisputed IV,2016-09-22,"[28, 18]",7.121,1240,63.673,348893
359,Mine,2017-04-07,"[10752, 53]",6.568,1220,20.797,345009
360,Mother's Day,2016-04-29,"[35, 18, 10749]",6.0,1219,13.412,353069
361,Popstar: Never Stop Never Stopping,2016-06-03,"[35, 10402]",6.625,1173,16.343,341012
362,Personal Shopper,2017-03-10,"[18, 9648, 53]",5.91,1159,17.113,340676
363,Miracles from Heaven,2016-03-18,"[10751, 18]",7.421,1130,38.332,339984
364,ARQ,2016-09-16,"[878, 53]",6.099,1105,16.801,410199
365,20th Century Women,2016-12-28,[18],7.4,1080,16.042,342737
366,A Hologram for the King,2016-04-22,"[35, 18]",5.837,1074,15.209,270010
367,The Whole Truth,2016-10-21,"[18, 53]",6.461,1062,19.007,331583
368,Brimstone,2017-03-10,"[18, 9648, 53, 37]",7.157,1058,17.582,324560
369,Everybody Wants Some!!,2016-03-30,[35],6.376,1032,11.315,295699
370,Pelé: Birth of a Legend,2016-05-06,[18],7.374,1027,18.304,245913
371,Nine Lives,2016-08-05,"[14, 35, 10751]",5.732,1008,21.265,322240
372,Cell,2016-07-08,"[27, 878, 53]",4.7,1001,16.248,168098
373,Keanu,2016-04-29,"[28, 35, 80]",6.064,988,10.736,342521
374,My Big Fat Greek Wedding 2,2016-03-25,"[10749, 35]",5.972,959,20.75,302688
375,Anthropoid,2016-08-12,"[36, 53, 10752]",7.1,934,20.837,351339
376,Justice League vs. Teen Titans,2016-03-26,"[878, 28, 16, 12, 35]",7.269,900,20.067,379291
377,Whiskey Tango Foxtrot,2016-03-04,"[35, 18, 10752]",6.289,897,12.785,279641
378,High Strung,2016-04-08,"[10402, 10749, 18]",7.063,887,12.586,382399
379,Loving,2016-11-04,"[18, 10749]",6.697,880,7.983,339419
380,Batman: Bad Blood,2016-01-19,"[878, 28, 16]",7.019,841,17.148,366924
381,The Siege of Jadotville,2016-10-07,"[10752, 18, 53]",7.116,819,13.689,334517
382,A Cinderella Story: If the Shoe Fits,2016-08-02,"[35, 10751, 14, 10402]",7.207,811,19.442,407655
383,Monster Trucks,2017-01-13,"[28, 35, 878]",6.074,793,24.847,262841
384,American Honey,2016-09-30,[18],6.802,787,12.142,340485
385,The Other Side of the Door,2016-03-11,"[53, 27]",5.511,786,19.672,364116
386,Risen,2016-02-18,"[28, 12, 18, 14]",6.161,783,20.206,335778
387,31,2016-10-21,"[27, 53]",5.41,754,9.848,284564
388,Before the Flood,2016-10-21,[99],7.693,750,9.931,410718
389,True Memoirs of an International Assassin,2016-11-11,"[35, 28]",5.737,748,13.841,339396
390,Bad Santa 2,2016-11-23,"[35, 80, 18, 9648]",5.413,740,11.632,338964
391,Max Steel,2016-10-14,"[28, 12, 878]",5.588,738,28.504,286567
392,13th,2016-10-07,[99],7.934,713,12.167,407806
393,Don't Knock Twice,2017-02-03,[27],5.5,711,14.157,420245
394,Bleed for This,2016-11-04,[18],6.802,708,16.315,332979
395,Tallulah,2016-01-23,"[18, 35]",6.722,688,6.672,353571
396,Shut In,2016-11-11,"[18, 53]",5.295,669,13.484,329981
397,American Pastoral,2016-10-21,"[80, 18]",6.159,651,16.629,326285
398,Skiptrace,2016-09-02,"[28, 35, 53, 9648]",5.681,643,16.971,270774
399,Genius,2016-06-10,"[36, 18]",6.486,638,13.762,267192
400,Get a Job,2016-03-25,"[18, 35]",5.3,627,11.083,186759
401,Pet,2016-12-02,"[27, 53]",5.825,619,8.926,353979
402,Emelie,2016-03-04,"[27, 53]",5.229,617,10.188,329010
403,The Devil's Candy,2017-03-17,"[18, 27, 9648, 53]",6.275,613,9.509,354216
404,Denial,2016-09-30,"[18, 36]",6.835,608,14.615,402298
405,"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016-02-26,"[28, 12, 18]",6.112,607,22.388,263341
406,The Limehouse Golem,2017-09-08,"[27, 9648, 53]",6.228,604,17.091,369300
407,I Am Wrath,2016-05-13,"[28, 80, 18, 53]",5.551,599,18.874,332411
408,Marauders,2016-07-01,"[28, 80, 53]",5.814,595,18.247,359412
409,I.T.,2016-09-23,[53],5.408,591,16.526,340677
410,Ratchet & Clank,2016-04-29,"[28, 12, 16, 10751]",5.762,591,14.818,234004
411,XOXO,2016-08-26,"[10402, 18]",5.99,579,16.977,352492
412,The Darkness,2016-05-13,"[27, 53]",4.8,576,10.996,257345
413,USS Indianapolis: Men of Courage,2016-10-14,"[28, 10752]",5.887,574,21.379,340945
414,Jeruzalem,2016-01-22,"[27, 28, 878, 53]",5.526,555,16.862,339547
415,Collide,2017-02-24,"[53, 28]",5.539,552,16.88,195590
416,In a Valley of Violence,2016-10-21,"[37, 28]",6.116,543,16.954,291356
417,Billy Lynn's Long Halftime Walk,2016-11-11,"[18, 10752]",6.0,536,13.206,293767
418,Misconduct,2016-02-05,"[53, 18, 9648]",5.6,534,17.982,373314
419,Amanda Knox,2016-09-30,"[99, 80]",6.674,527,7.578,411009
420,I Am the Pretty Thing That Lives in the House,2016-10-28,"[18, 27, 9648]",4.48,527,11.023,407559
421,The Monster,2016-11-11,"[27, 18]",5.485,526,8.621,340103
422,Incarnate,2016-12-02,"[27, 53]",5.38,525,14.873,241258
423,Our Kind of Traitor,2016-07-01,[53],6.0,513,10.524,205588
424,The Birth of a Nation,2016-10-07,[18],6.534,507,22.457,339408
425,Spider-Man: Homecoming,2017-07-07,"[28, 12, 878, 18]",7.34,20927,86.086,315635
426,Guardians of the Galaxy Vol. 2,2017-05-05,"[878, 12, 28]",7.621,20772,74.869,283995
427,Thor: Ragnarok,2017-11-03,"[28, 12, 878]",7.594,19919,89.307,284053
428,Wonder Woman,2017-06-02,"[28, 12, 14]",7.233,19294,59.261,297762
429,Coco,2017-11-22,"[10751, 16, 10402, 12]",8.214,18513,101.13,354912
430,Logan,2017-03-03,"[28, 18, 878]",7.8,18426,70.342,263115
431,It,2017-09-08,[27],7.241,18377,52.171,346364
432,Split,2017-01-20,"[27, 53]",7.338,16643,51.044,381288
433,Get Out,2017-02-24,"[9648, 53, 27]",7.621,16504,41.285,419430
434,Dunkirk,2017-07-19,"[10752, 28, 18]",7.456,15811,36.725,374720
435,Beauty and the Beast,2017-03-17,"[10751, 14, 10749]",6.968,15064,66.068,321612
436,Star Wars: The Last Jedi,2017-12-15,"[12, 28, 878]",6.81,14654,92.264,181808
437,Jumanji: Welcome to the Jungle,2017-12-20,"[12, 35, 14]",6.826,13080,39.394,353486
438,Blade Runner 2049,2017-10-06,"[878, 18]",7.553,12810,106.995,335984
439,Justice League,2017-11-17,"[28, 12, 878]",6.093,12489,86.69,141052
440,John Wick: Chapter 2,2017-02-10,"[28, 53, 80]",7.325,12415,80.866,324552
441,The Shape of Water,2017-12-01,"[18, 14, 10749]",7.248,11698,46.547,399055
442,Call Me by Your Name,2017-11-24,"[10749, 18]",8.2,11594,40.793,398818
443,Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-26,"[12, 28, 14]",6.649,11432,77.426,166426
444,Kong: Skull Island,2017-03-10,"[28, 12, 14]",6.523,9941,76.832,293167
445,The Fate of the Furious,2017-04-14,"[28, 80, 53]",6.882,9913,62.59,337339
446,Kingsman: The Golden Circle,2017-09-22,"[28, 12, 35]",6.966,9824,57.539,343668
447,"Three Billboards Outside Ebbing, Missouri",2017-12-01,"[80, 18]",8.078,9654,25.057,359940
448,Murder on the Orient Express,2017-11-10,"[9648, 18, 80]",6.711,9511,40.011,392044
449,The Greatest Showman,2017-12-20,[18],7.902,9035,38.31,316029
450,xXx: Return of Xander Cage,2017-01-20,"[28, 12, 80]",6.136,8645,62.656,47971
451,War for the Planet of the Apes,2017-07-14,"[18, 878, 10752]",7.168,8260,81.567,281338
452,Lady Bird,2017-11-03,"[18, 35]",7.272,8051,35.101,391713
453,Alien: Covenant,2017-05-19,"[878, 27, 9648]",6.096,8048,67.424,126889
454,Ghost in the Shell,2017-03-31,"[878, 18, 28]",6.066,7712,35.266,315837
455,Baywatch,2017-05-26,"[35, 28, 80]",6.093,7699,50.986,339846
456,Wonder,2017-11-17,"[18, 10751]",8.143,7582,28.77,406997
457,Fifty Shades Darker,2017-02-10,"[18, 10749]",6.489,7378,62.863,341174
458,Valerian and the City of a Thousand Planets,2017-07-21,"[12, 878, 28]",6.628,7178,57.973,339964
459,Life,2017-03-24,"[27, 878, 9648, 53]",6.431,6977,36.591,395992
460,The Mummy,2017-06-09,"[14, 53, 28, 12, 27]",5.505,6886,31.293,282035
461,The Boss Baby,2017-03-31,"[16, 35, 10751]",6.448,6811,18.664,295693
462,Despicable Me 3,2017-06-30,"[28, 16, 35, 10751, 12]",6.455,6729,69.702,324852
463,mother!,2017-09-15,"[18, 53, 27]",7.0,6407,25.291,381283
464,Atomic Blonde,2017-07-28,"[28, 53]",6.417,5969,23.415,341013
465,Transformers: The Last Knight,2017-06-21,"[28, 12, 878]",6.051,5876,54.763,335988
466,The Hitman's Bodyguard,2017-08-18,"[28, 35]",6.894,5873,32.154,390043
467,Happy Death Day,2017-10-13,"[27, 9648, 35]",6.638,5864,19.144,440021
468,What Happened to Monday,2017-08-18,"[878, 53, 18, 9648, 28]",7.165,5797,39.872,406990
469,"I, Tonya",2017-12-08,"[18, 35]",7.499,5535,20.777,389015
470,Cars 3,2017-06-16,"[16, 12, 35, 10751]",6.852,5438,101.232,260514
471,Bright,2017-12-22,"[14, 28, 53]",6.15,5405,24.414,400106
472,Annabelle: Creation,2017-08-11,[27],6.596,5381,44.309,396422
473,Gifted,2017-04-07,"[18, 35]",8.035,5125,70.302,400928
474,Wind River,2017-08-04,"[80, 18, 9648, 53]",7.433,4899,39.833,395834
475,Darkest Hour,2017-11-22,"[18, 36]",7.353,4865,20.144,399404
476,The Dark Tower,2017-08-04,"[14, 28, 878]",5.71,4829,84.657,353491
477,The Lego Batman Movie,2017-02-10,"[16, 28, 35, 10751]",7.223,4740,31.397,324849
478,Geostorm,2017-10-20,"[28, 878, 53]",6.115,4570,73.4,274855
479,The Post,2017-12-22,"[18, 36]",6.998,4351,18.024,446354
480,The Circle,2017-04-28,"[18, 53, 878]",5.517,4267,19.451,339988
481,Power Rangers,2017-03-24,"[28, 12, 878]",6.269,4259,44.704,305470
482,American Made,2017-09-29,"[35, 80, 18]",6.872,4253,23.474,337170
483,Okja,2017-06-28,"[12, 18, 878]",7.4,4086,24.976,387426
484,Death Note,2017-08-25,"[80, 14, 27, 53]",4.239,3802,17.456,351460
485,A Cure for Wellness,2017-02-17,"[27, 9648, 878]",6.336,3660,23.833,340837
486,"Everything, Everything",2017-05-19,"[18, 10749]",7.247,3615,15.714,417678
487,Downsizing,2017-12-22,"[18, 878]",5.338,3597,22.429,301337
488,Molly's Game,2017-12-25,"[18, 80]",7.15,3508,27.314,396371
489,Jigsaw,2017-10-27,"[27, 9648, 53]",6.226,3484,32.757,298250
490,Gerald's Game,2017-09-24,"[27, 53]",6.4,3460,20.326,343674
491,The Babysitter,2017-10-13,"[35, 27]",6.1,3406,26.189,419479
492,To the Bone,2017-01-22,[18],7.2,3386,15.964,401104
493,The Disaster Artist,2017-12-01,"[35, 18]",7.113,3376,15.225,371638
494,Before I Fall,2017-03-03,"[18, 9648, 53, 14]",6.966,3309,16.669,397837
495,Logan Lucky,2017-08-18,"[35, 80, 28, 18]",6.729,3307,30.037,399170
496,Phantom Thread,2017-12-25,"[18, 10749]",7.3,3297,18.619,400617
497,Pitch Perfect 3,2017-12-22,"[35, 10402]",6.53,3185,30.373,353616
498,A Dog's Purpose,2017-01-27,"[12, 35, 14, 10751, 18]",7.623,3158,30.432,381289
499,The Emoji Movie,2017-07-23,"[16, 10751, 35]",5.463,2904,40.077,378236
500,American Assassin,2017-09-15,"[28, 53]",6.396,2833,29.128,415842
501,The Lost City of Z,2017-04-14,"[12, 18, 36]",6.393,2718,19.814,314095
502,Ferdinand,2017-12-15,"[16, 10751, 12, 35]",7.22,2711,30.253,364689
503,Good Time,2017-08-11,"[80, 53]",7.204,2675,17.099,429200
504,Going in Style,2017-04-07,"[80, 35]",6.699,2646,22.317,353070
505,You Were Never Really Here,2018-04-06,"[80, 18, 53]",6.56,2633,26.802,398181
506,47 Meters Down,2017-06-16,"[53, 12, 27]",5.787,2622,17.995,403119
507,1922,2017-09-23,"[27, 80, 18]",5.934,2594,14.145,452507
508,The Florida Project,2017-10-06,[18],7.414,2575,17.32,394117
509,The Foreigner,2017-10-13,"[28, 53]",6.964,2476,31.821,379149
510,Daddy's Home 2,2017-11-10,[35],6.287,2415,36.0,419680
511,Rings,2017-02-03,[27],4.965,2400,21.035,14564
512,The Space Between Us,2017-02-03,"[10749, 12, 878, 18]",7.074,2365,19.81,365942
513,The Big Sick,2017-06-23,"[35, 18, 10749]",7.348,2301,18.569,416477
514,The Mountain Between Us,2017-10-06,"[18, 12, 10749]",6.641,2257,23.852,290512
515,It Comes at Night,2017-06-09,"[18, 27, 9648]",5.8,2231,18.224,418078
516,A Ghost Story,2017-07-07,"[18, 14]",7.112,2194,16.052,428449
517,Flatliners,2017-09-29,"[18, 27, 53]",5.66,2184,20.262,400710
518,All the Money in the World,2017-12-25,"[80, 36, 53]",6.478,2162,17.497,446791
519,Hostiles,2017-12-22,"[37, 18, 36]",6.92,2155,29.954,384680
520,The Snowman,2017-10-20,"[80, 53]",5.206,2146,21.868,372343
521,The Beguiled,2017-06-23,[18],5.901,2049,17.639,399019
522,The Shack,2017-03-03,"[18, 14]",7.501,2021,42.884,345938
523,A Bad Moms Christmas,2017-11-01,[35],6.319,1989,22.174,431530
524,Colossal,2017-04-07,"[18, 14, 878]",6.296,1943,27.989,339967
525,Rough Night,2017-06-16,"[18, 35]",5.689,1922,20.26,397422
526,Shot Caller,2017-08-18,"[80, 18, 53]",6.934,1883,38.716,339692
527,Jungle,2017-10-14,"[12, 18, 53]",6.592,1829,19.432,390062
528,Papillon,2018-08-24,[18],7.344,1808,28.039,433498
529,Battle of the Sexes,2017-09-22,"[18, 35, 36]",6.771,1776,17.954,369192
530,You Get Me,2017-06-19,"[53, 10749, 18]",5.618,1654,17.151,412105
531,Suburbicon,2017-10-27,"[53, 80, 18, 9648]",5.884,1620,22.701,395458
532,Detroit,2017-07-28,"[80, 18, 53, 36]",7.308,1563,12.316,407448
533,Descendants 2,2017-07-21,"[10751, 10402, 14, 10770, 12, 28, 10749]",7.37,1544,32.653,417320
534,Only the Brave,2017-10-20,"[18, 28]",7.406,1462,23.871,395991
535,Girls Trip,2017-07-21,[35],6.847,1448,30.425,417870
536,The Zookeeper's Wife,2017-03-31,"[18, 36, 10752]",7.352,1441,17.302,289222
537,Stronger,2017-09-22,[18],6.99,1410,22.071,395993
538,Better Watch Out,2017-10-06,"[35, 27, 53]",6.692,1404,16.642,406994
539,A Christmas Prince,2017-11-17,"[10749, 10770]",6.614,1396,10.406,483104
540,2:22,2017-06-30,"[878, 9648, 53, 10749]",6.024,1388,20.063,269795
541,Olaf's Frozen Adventure,2017-11-22,"[16, 10751, 12, 35, 14]",6.448,1381,29.262,460793
542,Smurfs: The Lost Village,2017-04-07,"[10751, 12, 16, 35]",6.307,1360,36.221,137116
543,Brain on Fire,2017-06-06,[18],7.046,1312,17.829,340027
544,Brawl in Cell Block 99,2017-10-06,"[28, 80, 53]",6.97,1279,19.998,398175
545,Wish Upon,2017-07-14,"[27, 53, 14]",5.631,1267,46.33,440597
546,Wonder Wheel,2017-12-01,"[18, 10749]",6.411,1265,14.347,429189
547,The Book of Henry,2017-06-16,"[18, 80, 53]",7.526,1246,14.109,382614
548,The Discovery,2017-01-20,"[18, 10749, 878, 53, 9648]",6.294,1237,11.645,376134
549,Leatherface,2017-10-20,"[27, 53]",5.6,1237,25.435,300665
550,I Don't Feel at Home in This World Anymore,2017-01-19,"[53, 18, 80, 35]",6.548,1232,14.01,425591
551,Kidnap,2017-08-04,"[18, 53]",6.198,1232,17.387,293768
552,CHiPS,2017-03-24,"[28, 35, 80]",6.121,1218,20.271,417644
553,Naked,2017-08-11,[35],5.723,1206,28.234,433251
554,Cult of Chucky,2017-10-03,"[27, 53, 35]",5.778,1195,31.005,393345
555,"Roman J. Israel, Esq.",2017-11-17,"[18, 80, 53]",6.321,1194,19.845,413362
556,Sleepless,2017-01-13,"[28, 80, 53]",5.913,1190,14.125,324542
557,Fist Fight,2017-02-17,[35],6.1,1184,14.676,345922
558,Mudbound,2017-11-17,[18],7.393,1173,12.676,414425
559,The Bye Bye Man,2017-01-13,"[27, 53]",5.171,1171,22.139,292280
560,Home Again,2017-09-08,"[35, 18, 10749]",6.115,1142,22.464,427900
561,Captain Underpants: The First Epic Movie,2017-06-02,"[28, 16, 35, 10751]",6.222,1140,26.596,268531
562,I Kill Giants,2018-03-23,"[14, 18]",6.168,1133,17.565,419831
563,The Meyerowitz Stories (New and Selected),2017-10-13,"[35, 18]",6.5,1125,14.678,396398
564,All Eyez on Me,2017-06-16,"[36, 18, 10402]",6.703,1124,16.258,402529
565,Victoria & Abdul,2017-09-22,"[18, 36]",6.914,1116,13.369,423899
566,iBoy,2017-01-27,"[28, 878]",5.958,1101,16.791,414190
567,War Machine,2017-05-26,"[35, 18, 10752]",5.589,1070,13.451,354287
568,Free Fire,2017-04-21,"[28, 80, 9648]",6.246,1049,14.594,334521
569,SPF-18,2017-09-29,"[10749, 18]",4.426,1037,16.287,472838
570,Unlocked,2017-09-01,"[28, 53]",6.2,1037,15.431,291276
571,The Bad Batch,2017-06-23,"[18, 27, 878]",5.247,1013,14.195,316154
572,Time Trap,2017-05-19,"[878, 12]",6.197,1008,35.247,455839
573,Justice League Dark,2017-01-24,"[16, 28, 14]",7.288,1006,16.067,408220
574,The Endless,2018-04-06,"[878, 27, 53]",6.326,1003,20.373,430231
575,#realityhigh,2017-07-17,[35],6.308,1001,16.123,455656
576,In a Heartbeat,2017-06-01,"[16, 10749, 35]",8.005,975,8.648,455661
577,Amityville: The Awakening,2017-11-14,"[53, 27]",5.338,974,28.509,203835
578,The Lego Ninjago Movie,2017-09-22,"[10751, 16, 28, 12, 35]",6.5,970,22.303,274862
579,Beyond Skyline,2017-12-15,"[28, 878, 12]",5.25,954,11.049,271404
580,Mary Shelley,2018-05-25,"[10749, 18]",7.022,945,23.293,332283
581,Table 19,2017-03-03,"[35, 18]",5.928,910,13.063,353569
582,Ingrid Goes West,2017-08-11,"[35, 18]",6.441,904,18.702,411741
583,Overdrive,2017-10-06,"[53, 28, 9648]",6.085,886,18.514,404733
584,Little Evil,2017-09-01,"[35, 27]",5.609,885,13.091,346671
585,The Wall,2017-05-12,"[10752, 53, 18]",6.375,876,24.968,405775
586,Crooked House,2017-12-22,"[9648, 80, 53]",6.403,858,20.054,419835
587,The House,2017-06-30,[35],5.63,855,14.937,345914
588,Aftermath,2017-04-07,"[18, 53]",5.744,850,17.959,390051
589,Jeepers Creepers 3,2017-09-26,"[27, 9648, 53]",4.903,844,33.674,55341
590,Unicorn Store,2019-04-05,"[14, 18, 35]",5.933,817,11.897,423949
591,Song to Song,2017-03-17,"[10749, 18, 10402]",5.476,817,8.505,330947
592,Professor Marston and the Wonder Women,2017-10-13,"[18, 10749]",7.205,809,25.754,420622
593,Christmas Inheritance,2017-12-15,"[10749, 35]",6.299,800,24.622,449755
594,Security,2017-08-04,"[28, 53, 80]",6.275,781,35.498,460846
595,Snatched,2017-05-12,"[28, 35]",5.353,767,14.076,373569
596,The Glass Castle,2017-08-11,[18],7.179,766,18.382,336000
597,Sand Castle,2017-04-21,"[10752, 28, 18]",6.474,738,20.838,390054
598,Creep 2,2017-10-14,[27],6.314,736,12.904,396493
599,The Man with the Iron Heart,2017-07-07,"[10752, 28, 36, 53]",6.549,730,24.913,339259
600,Megan Leavey,2017-06-09,"[18, 10752]",7.276,728,16.316,424488
601,Icarus,2017-07-26,[99],7.677,685,17.209,432976
602,Escape Room,2017-06-19,"[27, 53]",4.488,680,13.776,449664
603,Woody Woodpecker,2018-02-06,"[35, 10751, 16]",6.7,667,27.71,462883
604,The Layover,2017-09-01,"[35, 10749]",5.4,667,15.274,339404
605,6 Days,2017-08-18,"[28, 18, 36, 53]",6.006,658,14.115,347984
606,Tulip Fever,2017-08-25,"[18, 10749]",6.532,658,15.087,257785
607,Teen Titans: The Judas Contract,2017-03-31,"[878, 16, 28]",7.4,652,44.317,408647
608,Jim & Andy: The Great Beyond,2017-11-17,"[99, 35]",7.506,643,11.21,469019
609,First They Killed My Father,2017-09-15,"[10752, 18, 36]",7.397,632,13.697,433247
610,Unforgettable,2017-04-21,"[18, 53]",5.852,613,14.483,418437
611,24 Hours to Live,2017-12-01,"[28, 878, 53, 9648]",5.946,610,17.749,470114
612,Mayhem,2017-11-10,"[28, 35, 27]",6.457,610,15.439,429733
613,Berlin Syndrome,2017-05-26,"[9648, 18, 27]",5.994,607,21.289,363126
614,November Criminals,2017-12-08,"[80, 18, 9648, 53]",5.293,598,15.046,317091
615,Day of the Dead: Bloodline,2018-01-05,"[28, 27]",4.644,592,20.731,485415
616,Wheelman,2017-10-20,"[28, 80, 53]",6.106,591,13.672,471014
617,Once Upon a Time in Venice,2017-06-16,"[28, 35, 53, 9648]",5.184,589,20.678,345915
618,Father Figures,2017-12-22,[35],5.8,588,15.081,354861
619,How to Be a Latin Lover,2017-04-28,[35],6.929,588,21.029,425134
620,The Blackcoat's Daughter,2017-03-31,"[27, 9648, 53]",5.767,587,10.223,334536
621,Newness,2017-01-25,"[10749, 18]",6.053,581,15.924,434203
622,Marshall,2017-10-13,[18],7.262,576,10.036,392982
623,Gaga: Five Foot Two,2017-09-22,"[10402, 99]",7.455,574,12.306,472424
624,Super Dark Times,2017-09-29,"[18, 53]",6.449,574,10.454,396940
625,Cold Skin,2018-09-07,"[27, 14, 18]",6.254,563,16.668,428399
626,Batman and Harley Quinn,2017-08-14,"[12, 28, 16, 878, 35]",6.102,560,18.232,408648
627,All I See Is You,2017-10-27,"[9648, 53, 18]",5.171,554,12.223,345923
628,My Cousin Rachel,2017-06-09,"[18, 10749]",5.693,544,13.526,413998
629,My Friend Dahmer,2017-11-03,"[36, 18, 80, 27]",6.541,543,14.983,445040
630,Hangman,2017-12-22,"[9648, 80, 53]",5.778,540,9.02,323368
631,The Wizard of Lies,2017-05-11,"[80, 18, 36, 53, 10770]",6.65,535,17.61,363992
632,Lucky,2017-09-29,[18],7.36,534,9.991,407449
633,Acts of Vengeance,2017-10-27,"[53, 28, 18]",5.943,533,19.303,445954
634,The Little Hours,2017-06-30,[35],5.785,527,18.356,411873
635,First Kill,2017-07-21,"[28, 53, 80]",5.7,526,12.01,410554
636,Sandy Wexler,2017-04-14,[35],5.482,521,18.837,419700
637,The Star,2017-11-17,"[35, 12, 10751, 14, 16]",6.313,519,20.327,355547
638,Avengers: Infinity War,2018-04-27,"[12, 28, 878]",8.25,28451,201.236,299536
639,Black Panther,2018-02-16,"[28, 12, 878]",7.385,21417,74.063,284054
640,Deadpool 2,2018-05-10,"[28, 35, 12]",7.488,16724,258.851,383498
641,Bohemian Rhapsody,2018-11-02,"[10402, 18]",7.991,16265,43.876,424694
642,Venom,2018-10-05,"[878, 28]",6.826,15086,73.468,335983
643,Ready Player One,2018-03-29,"[12, 28, 878]",7.602,14798,73.072,333339
644,Spider-Man: Into the Spider-Verse,2018-12-14,"[28, 12, 16, 878]",8.405,14645,93.032,324857
645,Aquaman,2018-12-21,"[28, 12, 14]",6.902,13450,137.914,297802
646,A Quiet Place,2018-04-06,"[27, 18, 878]",7.4,13375,69.131,447332
647,Ant-Man and the Wasp,2018-07-06,"[28, 12, 878]",6.942,12771,52.26,363088
648,Incredibles 2,2018-06-15,"[28, 12, 16, 10751]",7.474,12314,61.545,260513
649,Jurassic World: Fallen Kingdom,2018-06-22,"[28, 12, 878, 53]",6.548,11294,73.866,351286
650,A Star Is Born,2018-10-05,"[10402, 18, 10749]",7.501,11293,34.944,332562
651,Green Book,2018-11-16,"[18, 36]",8.243,10896,44.923,490132
652,Fantastic Beasts: The Crimes of Grindelwald,2018-11-16,"[14, 12]",6.866,10422,36.557,338952
653,Bird Box,2018-11-12,"[27, 53, 18]",6.847,9417,34.591,405774
654,Annihilation,2018-02-23,"[878, 27]",6.406,8203,42.253,300668
655,To All the Boys I've Loved Before,2018-08-16,"[35, 10749]",7.629,8162,41.979,466282
656,Solo: A Star Wars Story,2018-05-25,"[878, 12, 28]",6.561,8102,44.361,348350
657,Ocean's Eight,2018-06-08,"[80, 35, 28]",7.0,7952,40.082,402900
658,Mission: Impossible - Fallout,2018-07-27,"[28, 12]",7.422,7759,73.028,353081
659,Fifty Shades Freed,2018-02-09,"[18, 10749]",6.708,7693,111.952,337167
660,Tomb Raider,2018-03-16,"[28, 12, 14]",6.354,7450,96.823,338970
661,Maze Runner: The Death Cure,2018-01-26,"[878, 28, 12, 53]",7.106,7334,59.387,336843
662,The Meg,2018-08-10,"[28, 878, 27]",6.258,7270,61.384,345940
663,BlacKkKlansman,2018-08-10,"[35, 80, 18, 36]",7.517,7204,32.565,487558
664,Ralph Breaks the Internet,2018-11-21,"[10751, 16, 35, 12]",7.194,7167,50.368,404368
665,Hereditary,2018-06-08,"[27, 9648, 53]",7.283,7150,50.23,493922
666,The Kissing Booth,2018-05-18,"[10749, 35]",7.216,7015,42.437,454983
667,Rampage,2018-04-13,"[28, 12, 878]",6.455,6705,55.648,427641
668,The Nun,2018-09-07,[27],5.889,6356,61.071,439079
669,"Love, Simon",2018-03-16,"[35, 18, 10749]",8.035,5836,28.535,449176
670,Bumblebee,2018-12-21,"[28, 12, 878]",6.727,5793,38.195,424783
671,Red Sparrow,2018-03-02,"[53, 9648]",6.533,5705,69.755,401981
672,Game Night,2018-02-23,"[9648, 35, 80]",6.855,5509,25.57,445571
673,Creed II,2018-11-21,"[18, 28]",7.024,5152,68.105,480530
